X,Y,Limit_A,Limit_B,Status,Repeater,NonTSMComp,Size,STATUS_ID,MaxSpeed_1,MaxSpeed_2,LastUpdate,Mounting,Descriptio,Maintenanc,Maintena_1,_full_text,X_ITM,Y_ITM
-6.243633378,53.22474578,50 Km/h,50 Km/h,Standard,1,1,600mm,8,50,50,20160108,Bracket Mounted,"Non TSM - Signs too big. Maintenance - Both signs rotated, road offset 300mm.",,Low,,717278.0517,720811.6328
-6.224754758,53.30014068,30 Km/h,,Standard,1,1,300mm,8,30,0,20160106,Bracket Mounted,Wrong sign.,Inappropriate,High,,718330.1783,729230.8939
-6.257309692,53.26703693,100 Km/h,,Standard,1,0,,8,100,0,20160201,Bracket Mounted,,,,,716250.2244,725494.4485
-6.219595902,53.24527293,50 Km/h,,Standard,1,0,300mm,8,50,0,20160225,Bracket Mounted,Maintenance - Pole knocked. DLRCC Road Maintenance informed 25.02.2016,Damaged Pole,High,,718826.0951,723135.0788
-6.152516369,53.24180557,60 Km/h,,Standard,0,0,900mm,8,60,0,20160201,Bracket Mounted,Maintenance - Sign rotated and not visible.,Obscured,High,,723312.5932,722862.9074
-6.132650968,53.26698472,50 Km/h,,Standard,1,1,300mm,8,50,0,20151125,Bracket Mounted,Non TSM - Village traffic calming sign. Maintenance - Minor damage to sign.,Damaged Sign,Low,,724565.219,725698.6417
-6.243994982,53.27053914,100 Km/h,,Standard,1,0,,8,100,0,20160201,Bracket Mounted,,,,,717128.7608,725905.8298
-6.137532467,53.29238223,30 Km/h,,Standard,0,0,600mm,8,30,0,20151222,,"Maintenance - Pole at an angle, kerb offset 60mm.",Damaged Pole,Low,,724165.9724,728515.7396
-6.138166764,53.23358683,50 Km/h,,Standard,1,0,300mm,8,50,0,20151126,Bracket Mounted,"Maintenance - Sign face is damaged, sleeves faded.",Damaged Sign,Low,,724294.0922,721973.384
-6.128036166,53.23897085,50 Km/h,,Standard,1,0,300mm,8,50,0,20151217,,Mounting - Mounted on Ep. Maintenance - Sign face has minor damage.,Damaged Sign,Low,,724954.6492,722590.0348
-6.134631843,53.26607979,60 Km/h,,Standard,0,0,,8,60,0,20160108,Bracket Mounted,"Maintenance - Sign damaged and slightly rotated, sleeves faded, kerb offset 300mm.",Damaged Sign,High,,724435.7218,725594.5134
-6.29246718,53.26236622,50 Km/h,50 Km/h,Standard,1,1,600mm,8,50,50,20160111,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Road offset 100mm, one face has minor damage.",Damaged Sign,Low,,713917.5762,724918.194
-6.178149811,53.25429763,50 Km/h,,Standard,0,0,,8,50,0,20160201,Bracket Mounted,,,,,721566.4017,724208.808
-6.202410699,53.27213367,60 Km/h,,Standard,0,0,600mm,8,60,0,20160205,Bracket Mounted,,,,,719897.791,726152.1857
-6.217998231,53.27186922,120 Km/h,,Standard,0,0,,8,120,0,20160201,Bracket Mounted,(Fly over),,,,718858.9442,726096.7284
-6.209689836,53.30314993,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151201,Bracket Mounted,Maintenance - 60kmh face has minor damage and is slightly rotated.,Damaged Sign,Low,,719325.8575,729590.7497
-6.185262234,53.30377478,50 Km/h,50 Km/h,Standard,1,1,600mm,8,50,50,20151201,Bracket Mounted,Non TSM - Signs too big. Maintenance - Both signs rotated.,,Low,,720952.0599,729701.3474
-6.247758106,53.31054842,50 Km/h,,Standard,1,1,600mm,8,50,0,20151209,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Fit sleeves, kerb offset 420mm.",,Low,,716768.608,730350.977
-6.201018819,53.31194282,50 Km/h,,Standard,0,0,600mm,8,50,0,20151201,Bracket Mounted,"Possibly in Dublin City Council Area. Non TSM - Sign too big. Maintenance - Sign rotated 90 degrees and not visible, kerb offset 400mm, sleeves faded.",Obscured,High,,719879.0973,730583.5322
-6.12487492,53.25226029,50 Km/h,,Standard,1,1,600mm,8,50,0,20151203,Bracket Mounted,Non TSM - Sign too big. Maintenance - Kerb offset 350mm.,,Low,,725126.8608,724074.068
-6.194818422,53.28737732,50 Km/h,,Standard,0,1,450mm,8,50,0,20151119,Bracket Mounted,"Non TSM - Sign too small. Maintenance - Pole knocked, kerb offset 225mm.",Damaged Pole,High,,720361.2981,727860.8937
-6.191901217,53.28121092,60 Km/h,,Standard,1,0,600mm,8,60,0,20151119,Bracket Mounted,"North bound. Maintenance - Fit sleeves, face is slightly rotated.",,Low,,720573.1462,727179.7636
-6.216708091,53.3087681,60 Km/h,,Standard,1,0,600mm,8,60,0,20151201,Bracket Mounted,Maintenance - Fit sleeves,,Low,,718842.523,730204.1087
-6.183262859,53.27783746,60 Km/h,,Standard,1,1,300mm,8,60,0,20151118,Bracket Mounted,Non TSM - sign too small. Maintenance fit sleeves.,,Low,,721158.6829,726819.0574
-6.197733422,53.27895175,50 Km/h,,Standard,1,0,300mm,8,50,0,20151215,Bracket Mounted,Maintenance - Sleeves faded,,Low,,720190.6014,726918.5934
-6.225697664,53.28624463,50 Km/h,,Standard,1,0,300mm,8,50,0,20151210,Bracket Mounted,,,,,718305.7291,727683.3059
-6.14100251,53.29627501,50 Km/h,30 Km/h,Standard,0,1,600mm,8,50,30,20151201,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Kerb offset 70mm, 30kmh sign damaged and rotated.",Damaged Sign,Low,,723923.387,728942.8066
-6.225748903,53.25240235,50 Km/h,,Standard,1,0,300mm,8,50,0,20160111,,"Mounting - Mounted on Tp. Maintenance - Sign face damaged, road offset 100mm.",Damaged Sign,High,,718395.7878,723918.0596
-6.123651349,53.22308473,50 Km/h,,Standard,1,1,600mm,8,50,0,20151202,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Sign slightly obscured, minor damage to sign face.",Damaged Sign,Low,,725293.6898,720830.3171
-6.178402151,53.25498786,30 Km/h,,Standard,0,0,,8,30,0,20160105,Bracket Mounted,Not in Charge. Non TSM - Sign diameter 500mm. Wrong Sign - Should be 50kmh.,Inappropriate,High,,721547.6084,724285.1702
-6.143258827,53.25220189,80 Km/h,50 Km/h,Standard,0,0,600mm,8,80,50,20151116,Bracket Mounted,Maintenance - kerb offset 350mm,,Low,,723900.3961,724035.5504
-6.252608325,53.27165362,50 Km/h,,Standard,1,0,300mm,8,50,0,20160113,,Maintenance - Raise both signs.,,Low,,716551.254,726015.7419
